EventID,Date,EventType,District,Location,Latitude,Longitude,Fatalities,Description
FF2013_01,16/08/2013,Flash Flood,Punakha,Punakha,27.5916,89.8774,0,Flash flood
FF2012_01,19/07/2012,Flash Flood,Sarpang,Sarpang town,26.8627,90.2717,0,Flash flood
FF2011_01,08/07/2011,Flood,Phuentsholing,Phuentsholing town,26.8635,89.3883,0,Flood
FF2010_02,06/08/2010,Flash Flood,Trashigang,Trashigang town,27.3332,91.554,0,Flash flood
FF2010_01,25/07/2010,Flood,Samtse,Samtse town,26.8997,89.1011,0,Monsoon flood
FF2009_01,25/05/2009,Flood,Sarpang,Sarpang,26.8627,90.2717,2,Cyclone Aila: Major floods in southern Bhutan
FF2008_01,23/07/2008,Flash Flood,Samdrup Jongkhar,Samdrup Jongkhar,26.8055,91.5036,0,Flash flood caused by heavy rain
FF2007_01,15/07/2007,Flood,Sarpang,Sarpang,26.8627,90.2717,0,Floods swept away houses and crops
FF2006_01,19/07/2006,Flash Flood,Punakha,Punakha,27.5916,89.8774,0,Flash flood
FF2004_02,26/07/2004,Flood,Phuentsholing,Phuentsholing,26.8635,89.3883,0,Flash flood in town
FF2004_01,25/07/2004,Flood,Sarpang,Sarpang,26.8627,90.2717,9,Major monsoon flood: roads destroyed
FF2000_02,12/08/2000,Flash Flood,Sarpang,Sarpang,26.8627,90.2717,0,Flood swept through the market
FF2000_01,16/07/2000,Flood,Phuentsholing,Phuentsholing,26.8635,89.3883,0,Urban flooding
FF1996_01,14/08/1996,Flood,Phuentsholing,Phuentsholing,26.8635,89.3883,0,Major flood
FF1994_01,10/07/1994,Flood,Punakha,Punakha,27.5916,89.8774,0,Monsoon flood
FF1990_01,08/08/1990,Flash Flood,Sarpang,Sarpang,26.8627,90.2717,0,Flash flood
FF1980_01,10/07/1980,Flash Flood,Wangduephodrang,Wangdue town,27.4867,89.8995,0,Flash flood
FF1974_01,15/08/1974,Flood,Punakha,Punakha,27.5916,89.8774,0,Large monsoon flood
FF1968_01,15/07/1968,Flood,Phuentsholing,Phuentsholing,26.8635,89.3883,0,Flash flood
FF1957_01,01/08/1957,Flood,Gasa,Mo Chu valley,27.889,89.8556,0,Major monsoon flood
